

--- Inversion on [256, 128] grid with wTVReg and alpha=1.0 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	7.06e-01	4.23e-01	1.00e+00	1.00e+00	  0
   .1	7.06e-01	4.22e-01			9.99e-01
  2.0	7.06e-01	4.22e-01	1.00e+00	9.99e-01	  0
   .1	7.04e-01	4.22e-01			9.97e-01
  3.0	7.04e-01	4.22e-01	1.00e+00	9.97e-01	  0
   .1	7.02e-01	4.22e-01			9.95e-01
  4.0	7.02e-01	4.22e-01	1.00e+00	9.95e-01	  0
   .1	6.98e-01	4.22e-01			9.92e-01
  5.0	6.98e-01	4.22e-01	1.00e+00	9.92e-01	  0
   .1	6.91e-01	4.23e-01			9.86e-01
  6.0	6.91e-01	4.23e-01	1.00e+00	9.86e-01	  0
   .1	6.79e-01	4.24e-01			9.77e-01
  7.0	6.79e-01	4.24e-01	1.00e+00	9.77e-01	  0
   .1	6.64e-01	4.27e-01			9.66e-01
  8.0	6.64e-01	4.27e-01	1.00e+00	9.66e-01	  0
   .1	6.46e-01	4.31e-01			9.53e-01
  9.0	6.46e-01	4.31e-01	1.00e+00	9.53e-01	  0
   .1	6.22e-01	4.35e-01			9.36e-01
 10.0	6.22e-01	4.35e-01	1.00e+00	9.36e-01	  0
   .1	5.93e-01	4.40e-01			9.15e-01
 11.0	5.93e-01	4.40e-01	1.00e+00	9.15e-01	  0
   .1	5.68e-01	4.45e-01			8.96e-01
 12.0	5.68e-01	4.45e-01	1.00e+00	8.96e-01	  0
   .1	5.48e-01	4.49e-01			8.83e-01
 13.0	5.48e-01	4.49e-01	1.00e+00	8.83e-01	  0
   .1	5.34e-01	4.53e-01			8.74e-01
 14.0	5.34e-01	4.53e-01	1.00e+00	8.74e-01	  0
   .1	5.25e-01	4.54e-01			8.67e-01
 15.0	5.25e-01	4.54e-01	1.00e+00	8.67e-01	  0
   .1	5.10e-01	4.57e-01			8.57e-01
 16.0	5.10e-01	4.57e-01	1.00e+00	8.57e-01	  0
   .1	4.96e-01	4.60e-01			8.47e-01
 17.0	4.96e-01	4.60e-01	1.00e+00	8.47e-01	  0
   .1	4.86e-01	4.60e-01			8.38e-01
 18.0	4.86e-01	4.60e-01	1.00e+00	8.38e-01	  0
   .1	4.79e-01	4.58e-01			8.30e-01
 19.0	4.79e-01	4.58e-01	1.00e+00	8.30e-01	  0
   .1	4.71e-01	4.58e-01			8.22e-01
 20.0	4.71e-01	4.58e-01	1.00e+00	8.22e-01	  0
   .1	4.65e-01	4.57e-01			8.16e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.007119126887491084 instead 0.001.


--- Inversion on [256, 128] grid with wTVReg and alpha=0.6210169418915615 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	4.65e-01	2.84e-01	6.21e-01	1.00e+00	  0
   .1	4.28e-01	2.99e-01			9.72e-01
  2.0	4.28e-01	2.99e-01	6.21e-01	9.72e-01	  0
   .1	4.03e-01	3.06e-01			9.47e-01
  3.0	4.03e-01	3.06e-01	6.21e-01	9.47e-01	  0
   .1	3.23e-01	3.39e-01			8.84e-01
  4.0	3.23e-01	3.39e-01	6.21e-01	8.84e-01	  0
