

--- Inversion on [96, 48, 48] grid with wTVReg and alpha=1.0 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	7.90e-01	6.94e-01	1.00e+00	1.00e+00	  0
   .1	7.89e-01	6.72e-01			9.85e-01
  2.0	7.89e-01	6.72e-01	1.00e+00	9.85e-01	  0
   .1	7.95e-01	6.17e-01			9.51e-01
  3.0	7.95e-01	6.17e-01	1.00e+00	9.51e-01	  0
   .1	8.05e-01	5.56e-01			9.17e-01
  4.0	8.05e-01	5.56e-01	1.00e+00	9.17e-01	  0
   .1	8.17e-01	4.78e-01			8.72e-01
  5.0	8.17e-01	4.78e-01	1.00e+00	8.72e-01	  0
   .1	8.20e-01	4.28e-01			8.41e-01
  6.0	8.20e-01	4.28e-01	1.00e+00	8.41e-01	  0
   .1	7.76e-01	4.31e-01			8.14e-01
  7.0	7.76e-01	4.31e-01	1.00e+00	8.14e-01	  0
   .1	7.06e-01	4.55e-01			7.82e-01
  8.0	7.06e-01	4.55e-01	1.00e+00	7.82e-01	  0
   .1	6.21e-01	4.86e-01			7.46e-01
  9.0	6.21e-01	4.86e-01	1.00e+00	7.46e-01	  0
   .1	5.30e-01	5.20e-01			7.07e-01
 10.0	5.30e-01	5.20e-01	1.00e+00	7.07e-01	  0
   .1	4.54e-01	5.43e-01			6.72e-01
 11.0	4.54e-01	5.43e-01	1.00e+00	6.72e-01	  0
   .1	3.89e-01	5.68e-01			6.45e-01
 12.0	3.89e-01	5.68e-01	1.00e+00	6.45e-01	  0
   .1	3.38e-01	5.94e-01			6.28e-01
 13.0	3.38e-01	5.94e-01	1.00e+00	6.28e-01	  0
   .1	3.06e-01	6.09e-01			6.16e-01
 14.0	3.06e-01	6.09e-01	1.00e+00	6.16e-01	  0
   .1	2.87e-01	6.17e-01			6.09e-01
 15.0	2.87e-01	6.17e-01	1.00e+00	6.09e-01	  0
   .1	2.78e-01	6.19e-01			6.04e-01
 16.0	2.78e-01	6.19e-01	1.00e+00	6.04e-01	  0
   .1	2.75e-01	6.18e-01			6.01e-01
 17.0	2.75e-01	6.18e-01	1.00e+00	6.01e-01	  0
   .1	2.73e-01	6.17e-01			6.00e-01
 18.0	2.73e-01	6.17e-01	1.00e+00	6.00e-01	  0
   .1	2.72e-01	6.16e-01			5.98e-01
 19.0	2.72e-01	6.16e-01	1.00e+00	5.98e-01	  0
   .1	2.71e-01	6.16e-01			5.97e-01
 20.0	2.71e-01	6.16e-01	1.00e+00	5.97e-01	14637
   .1	2.70e-01	6.15e-01			5.97e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.006632219222273972 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.6210169418915615 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.70e-01	3.82e-01	6.21e-01	1.00e+00	1365
   .1	2.23e-01	4.14e-01			9.75e-01
  2.0	2.23e-01	4.14e-01	6.21e-01	9.75e-01	4546
   .1	1.89e-01	4.37e-01			9.60e-01
  3.0	1.89e-01	4.37e-01	6.21e-01	9.60e-01	74219
   .1	1.53e-01	4.65e-01			9.47e-01
  4.0	1.53e-01	4.65e-01	6.21e-01	9.47e-01	24337
   .1	1.48e-01	4.69e-01			9.45e-01
  5.0	1.48e-01	4.69e-01	6.21e-01	9.45e-01	15830
   .1	1.47e-01	4.69e-01			9.45e-01
   .2	1.48e-01	4.68e-01			9.44e-01
  6.0	1.48e-01	4.68e-01	6.21e-01	9.44e-01	6978
   .1	1.47e-01	4.68e-01			9.43e-01
  7.0	1.47e-01	4.68e-01	6.21e-01	9.43e-01	9988
   .1	1.47e-01	4.69e-01			9.44e-01
   .2	1.47e-01	4.68e-01			9.43e-01
  8.0	1.47e-01	4.68e-01	6.21e-01	9.43e-01	2786
   .1	1.47e-01	4.68e-01			9.42e-01
  9.0	1.47e-01	4.68e-01	6.21e-01	9.42e-01	5562
   .1	1.47e-01	4.68e-01			9.42e-01
   .2	1.47e-01	4.67e-01			9.42e-01
 10.0	1.47e-01	4.67e-01	6.21e-01	9.42e-01	1333
   .1	1.47e-01	4.67e-01			9.41e-01
 11.0	1.47e-01	4.67e-01	6.21e-01	9.41e-01	1953
   .1	1.46e-01	4.67e-01			9.41e-01
   .2	1.46e-01	4.67e-01			9.41e-01
 12.0	1.46e-01	4.67e-01	6.21e-01	9.41e-01	809
   .1	1.46e-01	4.67e-01			9.40e-01
 13.0	1.46e-01	4.67e-01	6.21e-01	9.40e-01	1521
   .1	1.46e-01	4.67e-01			9.40e-01
   .2	1.46e-01	4.67e-01			9.40e-01
   .3	1.46e-01	4.67e-01			9.40e-01
projGN reached desired accuracy at iteration 13.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.3856620421163472 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.46e-01	2.90e-01	3.86e-01	1.00e+00	932
   .1	1.29e-01	3.01e-01			9.86e-01
  2.0	1.29e-01	3.01e-01	3.86e-01	9.86e-01	4962
   .1	1.19e-01	3.08e-01			9.80e-01
  3.0	1.19e-01	3.08e-01	3.86e-01	9.80e-01	35328
   .1	1.14e-01	3.12e-01			9.77e-01
  4.0	1.14e-01	3.12e-01	3.86e-01	9.77e-01	15241
   .1	1.10e-01	3.15e-01			9.75e-01
  5.0	1.10e-01	3.15e-01	3.86e-01	9.75e-01	12652
   .1	1.07e-01	3.18e-01			9.75e-01
  6.0	1.07e-01	3.18e-01	3.86e-01	9.75e-01	13859
   .1	1.06e-01	3.19e-01			9.74e-01
  7.0	1.06e-01	3.19e-01	3.86e-01	9.74e-01	12587
   .1	1.06e-01	3.19e-01			9.74e-01
   .2	1.06e-01	3.18e-01			9.73e-01
  8.0	1.06e-01	3.18e-01	3.86e-01	9.73e-01	4832
   .1	1.05e-01	3.19e-01			9.73e-01
  9.0	1.05e-01	3.19e-01	3.86e-01	9.73e-01	8338
   .1	1.05e-01	3.19e-01			9.72e-01
 10.0	1.05e-01	3.19e-01	3.86e-01	9.72e-01	7160
   .1	1.05e-01	3.20e-01			9.73e-01
   .2	1.05e-01	3.19e-01			9.72e-01
 11.0	1.05e-01	3.19e-01	3.86e-01	9.72e-01	2814
   .1	1.05e-01	3.19e-01			9.72e-01
 12.0	1.05e-01	3.19e-01	3.86e-01	9.72e-01	7684
   .1	1.05e-01	3.19e-01			9.72e-01
   .2	1.05e-01	3.19e-01			9.71e-01
projGN reached desired accuracy at iteration 12.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.23950266199874853 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.05e-01	1.98e-01	2.40e-01	1.00e+00	1892
