solve using alpha = 0.008531678524172805
alpha:				0.008531678524172805
no. cells:			32768
no. nodes:			33153
no. measurements:	200

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	7.06e-01	3.61e-03	8.53e-03	1.00e+00	  0
   .1	6.84e-01	3.67e-03			9.68e-01
  2.0	6.84e-01	3.67e-03	8.53e-03	9.68e-01	  1
   .1	4.27e-01	5.02e-03			6.09e-01
  3.0	4.27e-01	5.02e-03	8.53e-03	6.09e-01	  2
   .1	2.84e-01	6.34e-03			4.08e-01
  4.0	2.84e-01	6.34e-03	8.53e-03	4.08e-01	  1
   .1	1.78e-01	7.98e-03			2.62e-01
  5.0	1.78e-01	7.98e-03	8.53e-03	2.62e-01	  0
   .1	1.11e-01	9.57e-03			1.70e-01
  6.0	1.11e-01	9.57e-03	8.53e-03	1.70e-01	 88
   .1	7.22e-02	1.09e-02			1.17e-01
  7.0	7.22e-02	1.09e-02	8.53e-03	1.17e-01	453
   .1	4.81e-02	1.20e-02			8.46e-02
  8.0	4.81e-02	1.20e-02	8.53e-03	8.46e-02	1424
   .1	3.38e-02	1.30e-02			6.59e-02
  9.0	3.38e-02	1.30e-02	8.53e-03	6.59e-02	3929
   .1	2.47e-02	1.38e-02			5.42e-02
 10.0	2.47e-02	1.38e-02	8.53e-03	5.42e-02	7311
   .1	1.97e-02	1.44e-02			4.81e-02
 11.0	1.97e-02	1.44e-02	8.53e-03	4.81e-02	10815
   .1	1.79e-02	1.47e-02			4.59e-02
 12.0	1.79e-02	1.47e-02	8.53e-03	4.59e-02	10940
   .1	1.70e-02	1.48e-02			4.47e-02
 13.0	1.70e-02	1.48e-02	8.53e-03	4.47e-02	10530
   .1	1.65e-02	1.47e-02			4.39e-02
 14.0	1.65e-02	1.47e-02	8.53e-03	4.39e-02	10490
   .1	1.63e-02	1.45e-02			4.34e-02
 15.0	1.63e-02	1.45e-02	8.53e-03	4.34e-02	10230
   .1	1.62e-02	1.44e-02			4.31e-02
 16.0	1.62e-02	1.44e-02	8.53e-03	4.31e-02	9820
   .1	1.61e-02	1.43e-02			4.29e-02
 17.0	1.61e-02	1.43e-02	8.53e-03	4.29e-02	8734
   .1	1.61e-02	1.43e-02			4.28e-02
 18.0	1.61e-02	1.43e-02	8.53e-03	4.28e-02	8769
   .1	1.60e-02	1.43e-02			4.27e-02
 19.0	1.60e-02	1.43e-02	8.53e-03	4.27e-02	8627
   .1	1.60e-02	1.43e-02			4.27e-02
 20.0	1.60e-02	1.43e-02	8.53e-03	4.27e-02	7968
   .1	1.60e-02	1.43e-02			4.26e-02
 21.0	1.60e-02	1.43e-02	8.53e-03	4.26e-02	7840
   .1	1.60e-02	1.43e-02			4.26e-02
 22.0	1.60e-02	1.43e-02	8.53e-03	4.26e-02	7897
   .1	1.60e-02	1.43e-02			4.26e-02
 23.0	1.60e-02	1.43e-02	8.53e-03	4.26e-02	7644
   .1	1.60e-02	1.43e-02			4.26e-02
 24.0	1.60e-02	1.43e-02	8.53e-03	4.26e-02	7715
   .1	1.60e-02	1.43e-02			4.26e-02
 25.0	1.60e-02	1.43e-02	8.53e-03	4.26e-02	7380
   .1	1.60e-02	1.42e-02			4.26e-02
 26.0	1.60e-02	1.42e-02	8.53e-03	4.26e-02	7475
   .1	1.60e-02	1.42e-02			4.26e-02
 27.0	1.60e-02	1.42e-02	8.53e-03	4.26e-02	7484
   .1	1.60e-02	1.42e-02			4.26e-02
 28.0	1.60e-02	1.42e-02	8.53e-03	4.26e-02	7351
   .1	1.60e-02	1.42e-02			4.25e-02
 29.0	1.60e-02	1.42e-02	8.53e-03	4.25e-02	7632
   .1	1.60e-02	1.42e-02			4.25e-02
 30.0	1.60e-02	1.42e-02	8.53e-03	4.25e-02	7674
   .1	1.60e-02	1.42e-02			4.25e-02
 31.0	1.60e-02	1.42e-02	8.53e-03	4.25e-02	7301
   .1	1.60e-02	1.42e-02			4.25e-02
 32.0	1.60e-02	1.42e-02	8.53e-03	4.25e-02	7488
   .1	1.60e-02	1.42e-02			4.25e-02
 33.0	1.60e-02	1.42e-02	8.53e-03	4.25e-02	7502
   .1	1.60e-02	1.42e-02			4.25e-02
 34.0	1.60e-02	1.42e-02	8.53e-03	4.25e-02	7379
   .1	1.59e-02	1.42e-02			4.25e-02
 35.0	1.59e-02	1.42e-02	8.53e-03	4.25e-02	7466
   .1	1.59e-02	1.42e-02			4.25e-02
 36.0	1.59e-02	1.42e-02	8.53e-03	4.25e-02	7587
   .1	1.59e-02	1.42e-02			4.25e-02
 37.0	1.59e-02	1.42e-02	8.53e-03	4.25e-02	7441
   .1	1.59e-02	1.42e-02			4.25e-02
 38.0	1.59e-02	1.42e-02	8.53e-03	4.25e-02	7950
   .1	1.59e-02	1.42e-02			4.25e-02
   .2	1.59e-02	1.41e-02			4.24e-02
projGN reached desired accuracy at iteration 38.
runtime:	18.250178011
no. PDE solves:	458
time PDE factor:	0.21058307
time PDE solves:	3.886269812999997
err(Fields) = 0.013621753760058593
err(Sources) = 0.15213368689840465
err(PredictedData) = 0.01583395995219574
