alpha:				0.005298316906283708
no. cells:			221184
no. nodes:			232897
no. measurements:	6400

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	7.90e-01	3.67e-03	5.30e-03	1.00e+00	  0
   .1	7.86e-01	3.68e-03			9.94e-01
  2.0	7.86e-01	3.68e-03	5.30e-03	9.94e-01	  1
   .1	7.46e-01	3.79e-03			9.44e-01
  3.0	7.46e-01	3.79e-03	5.30e-03	9.44e-01	144
   .1	6.06e-01	4.16e-03			7.68e-01
  4.0	6.06e-01	4.16e-03	5.30e-03	7.68e-01	170
   .1	4.83e-01	4.54e-03			6.14e-01
  5.0	4.83e-01	4.54e-03	5.30e-03	6.14e-01	186
   .1	3.78e-01	4.90e-03			4.82e-01
  6.0	3.78e-01	4.90e-03	5.30e-03	4.82e-01	220
   .1	2.89e-01	5.27e-03			3.70e-01
  7.0	2.89e-01	5.27e-03	5.30e-03	3.70e-01	240
   .1	2.12e-01	5.64e-03			2.74e-01
  8.0	2.12e-01	5.64e-03	5.30e-03	2.74e-01	266
   .1	1.51e-01	6.00e-03			1.98e-01
  9.0	1.51e-01	6.00e-03	5.30e-03	1.98e-01	282
   .1	1.06e-01	6.34e-03			1.41e-01
 10.0	1.06e-01	6.34e-03	5.30e-03	1.41e-01	355
   .1	7.32e-02	6.66e-03			1.01e-01
 11.0	7.32e-02	6.66e-03	5.30e-03	1.01e-01	2926
   .1	5.02e-02	6.95e-03			7.19e-02
 12.0	5.02e-02	6.95e-03	5.30e-03	7.19e-02	7686
   .1	3.44e-02	7.21e-03			5.24e-02
 13.0	3.44e-02	7.21e-03	5.30e-03	5.24e-02	11092
   .1	2.46e-02	7.44e-03			4.04e-02
 14.0	2.46e-02	7.44e-03	5.30e-03	4.04e-02	15433
   .1	2.06e-02	7.55e-03			3.54e-02
 15.0	2.06e-02	7.55e-03	5.30e-03	3.54e-02	15666
   .1	1.83e-02	7.60e-03			3.26e-02
 16.0	1.83e-02	7.60e-03	5.30e-03	3.26e-02	15920
   .1	1.68e-02	7.62e-03			3.08e-02
 17.0	1.68e-02	7.62e-03	5.30e-03	3.08e-02	14872
   .1	1.59e-02	7.62e-03			2.96e-02
 18.0	1.59e-02	7.62e-03	5.30e-03	2.96e-02	15092
   .1	1.52e-02	7.59e-03			2.87e-02
 19.0	1.52e-02	7.59e-03	5.30e-03	2.87e-02	15801
   .1	1.47e-02	7.54e-03			2.80e-02
 20.0	1.47e-02	7.54e-03	5.30e-03	2.80e-02	19925
   .1	1.44e-02	7.44e-03			2.74e-02
 21.0	1.44e-02	7.44e-03	5.30e-03	2.74e-02	30661
   .1	1.41e-02	7.31e-03			2.70e-02
 22.0	1.41e-02	7.31e-03	5.30e-03	2.70e-02	53612
   .1	1.40e-02	7.23e-03			2.67e-02
 23.0	1.40e-02	7.23e-03	5.30e-03	2.67e-02	47020
   .1	1.40e-02	7.21e-03			2.67e-02
 24.0	1.40e-02	7.21e-03	5.30e-03	2.67e-02	39647
   .1	1.39e-02	7.22e-03			2.66e-02
 25.0	1.39e-02	7.22e-03	5.30e-03	2.66e-02	33804
   .1	1.39e-02	7.22e-03			2.66e-02
 26.0	1.39e-02	7.22e-03	5.30e-03	2.66e-02	36635
   .1	1.39e-02	7.23e-03			2.66e-02
 27.0	1.39e-02	7.23e-03	5.30e-03	2.66e-02	32806
   .1	1.39e-02	7.23e-03			2.66e-02
 28.0	1.39e-02	7.23e-03	5.30e-03	2.66e-02	32894
   .1	1.39e-02	7.23e-03			2.66e-02
 29.0	1.39e-02	7.23e-03	5.30e-03	2.66e-02	29836
   .1	1.39e-02	7.23e-03			2.66e-02
 30.0	1.39e-02	7.23e-03	5.30e-03	2.66e-02	30754
   .1	1.39e-02	7.24e-03			2.66e-02
 31.0	1.39e-02	7.24e-03	5.30e-03	2.66e-02	29376
   .1	1.39e-02	7.24e-03			2.66e-02
 32.0	1.39e-02	7.24e-03	5.30e-03	2.66e-02	28271
   .1	1.39e-02	7.24e-03			2.66e-02
 33.0	1.39e-02	7.24e-03	5.30e-03	2.66e-02	25388
   .1	1.39e-02	7.24e-03			2.66e-02
 34.0	1.39e-02	7.24e-03	5.30e-03	2.66e-02	25210
   .1	1.39e-02	7.24e-03			2.66e-02
 35.0	1.39e-02	7.24e-03	5.30e-03	2.66e-02	26726
   .1	1.39e-02	7.24e-03			2.66e-02
 36.0	1.39e-02	7.24e-03	5.30e-03	2.66e-02	25882
   .1	1.39e-02	7.24e-03			2.66e-02
 37.0	1.39e-02	7.24e-03	5.30e-03	2.66e-02	26247
   .1	1.39e-02	7.24e-03			2.66e-02
 38.0	1.39e-02	7.24e-03	5.30e-03	2.66e-02	26007
   .1	1.39e-02	7.24e-03			2.66e-02
 39.0	1.39e-02	7.24e-03	5.30e-03	2.66e-02	25507
   .1	1.39e-02	7.24e-03			2.66e-02
 40.0	1.39e-02	7.24e-03	5.30e-03	2.66e-02	26220
   .1	1.39e-02	7.24e-03			2.66e-02
 41.0	1.39e-02	7.24e-03	5.30e-03	2.66e-02	26438
   .1	1.39e-02	7.24e-03			2.66e-02
 42.0	1.39e-02	7.24e-03	5.30e-03	2.66e-02	25091
   .1	1.39e-02	7.24e-03			2.66e-02
projGN reached desired accuracy at iteration 42.
runtime:	226.457872112
no. PDE solves:	505
time PDE factor:	10.403759595
time PDE solves:	114.06438407100002
err(Fields) = 0.0007829760832510085
err(Sources) = 0.007309643447282954
err(PredictedData) = 0.0007454771705991332
