# computational domain and measurement data
data;
param domain := 1            0 2            2 3            0 4            1;
param K :=          200;
param : b X Y := 
            1    0.1505216    0.8253609    0.2094151 
            2    0.2010853    0.5395532    0.5474695 
            3   0.01262968     0.025132    0.9959724 
            4  0.004086001     0.132851    0.8445403 
            5  0.001816806    0.2855193    0.8915972 
            6    0.0321094    0.8658601    0.8873733 
            7   0.05997313    0.7471553    0.1423146 
            8    0.1334825     1.853252    0.6668026 
            9   0.05453736     1.643906    0.9155411 
           10    0.2360564     1.138595    0.3737745 
           11   0.05828866      1.56179   0.08241795 
           12    0.1541385     1.006097    0.7616836 
           13    0.1127774     1.065154    0.7826108 
           14   0.02164438    0.4109269    0.7390124 
           15   0.02096902     1.101356   0.05613649 
           16   -0.0114479    0.7154652   0.03549426 
           17   0.03658317      1.40605  0.002036815 
           18    0.1271596     1.727381    0.1931713 
           19   0.02037697   0.02650367    0.5506779 
           20   0.02899362    0.1623947    0.3381336 
           21    0.1959408     1.779465    0.4266223 
           22     0.253661    0.6261337    0.4527171 
           23    0.1218888      1.92405    0.7832643 
           24    0.2011173     1.692246     0.484642 
           25    0.1992097      1.36394    0.4574059 
           26   0.08928083    0.1716899    0.4918697 
           27  -0.00207313    0.2656337    0.9284661 
           28    0.1291257     1.747622     0.727855 
           29 -0.000229961    0.5671556    0.0778793 
           30    0.2364553     0.567128    0.4712928 
           31     0.244354    0.5763685    0.4070485 
           32  -0.01442591    0.3956545    0.1470124 
           33    0.1130327     1.632035    0.7286271 
           34     0.216074     1.376577    0.4127109 
           35    0.2586159    0.7477289    0.3209237 
           36 -0.004264838    0.2535211    0.9446277 
           37 0.0005601632    0.6339494     0.954311 
           38  -0.04030411   0.02285513    0.1035267 
           39    0.2036609     1.009291     0.510176 
           40   0.01653123    0.1092916     0.852285 
           41    0.1975979    0.2928631    0.4980452 
           42    0.1516118    0.9296074    0.7890411 
           43    0.1250891     1.000664    0.1852279 
           44   0.08855534    0.4515664    0.6781875 
           45    0.1494628    0.2513897    0.3892303 
           46    0.1614063    0.3520566    0.6082705 
           47   0.02339378     1.207544    0.9610946 
           48    0.1575653    0.9481855    0.7894829 
           49    0.1212228     1.902225    0.7425344 
           50    0.1042788     1.002195    0.8346345 
           51   0.05342899     1.634651    0.8950324 
           52    0.1863792     1.391951    0.2714132 
           53   0.08488672    0.3440451    0.2728041 
           54   0.06975481      0.20305    0.3323326 
           55 -0.004960329    0.1625695   0.02269467 
           56   0.03068233    0.7221404    0.1197387 
           57    0.1661046    0.8688571    0.2026805 
           58      0.15495    0.6452612    0.5817042 
           59    0.2660503     1.173483    0.3887363 
           60   0.06031677     1.159734     0.101765 
           61    0.2003602    0.4608477    0.5948211 
           62  -0.02211113    0.3677634    0.9242252 
           63 -0.003582018    0.2476616    0.7518402 
           64 -0.003692479    0.2294077    0.1181303 
           65   0.08492883     1.163181    0.8566706 
           66   0.08058737     1.926913    0.7907204 
           67    0.2996259     0.594217    0.2982091 
           68   0.01235266     1.033931   0.06254212 
           69    0.1638496     1.615261    0.6160552 
           70    0.1409233     1.404852    0.7099388 
           71    0.2073775     1.708427     0.488081 
           72   0.03000438    0.7401954   0.08224608 
           73    0.1392306      1.53939    0.1862446 
           74   0.04049754     0.301402    0.2743132 
           75    0.1374108     1.289282    0.1974672 
           76  -0.01256517    0.1544461    0.9048402 
           77    0.2425128     0.784361    0.3205336 
           78    0.1959082     1.324634    0.5595084 
           79    0.0546781      1.85566    0.9501383 
           80   0.04593744     1.738737    0.9976627 
           81    0.1421652     1.402985    0.7178596 
           82    0.1733728     1.305483    0.6027484 
